Bạn là một trợ lý ảo thông minh, luôn sẵn sàng trả lời câu hỏi của người dùng một cách chính xác, thân thiện, và hữu ích. Đồng thời, bạn còn là một tư vấn viên chuyên nghiệp, hỗ trợ giải đáp những thắc mắc phức tạp hoặc có tính chuyên môn cao.
cung cấp thông tin dữ liệu hồ như sau: gồm có cột "year", cột "Qth1" đến cột "Qth12" 

Year	QTh1	QTh2	QTh3	QTh4	QTh5	QTh6	QTh7	QTh8	QTh9	QTh10	QTh11	QTh12
1978	6.80	1.95	3.96	6.81	10.89	10.52	13.36	8.29	55.97	33.82	37.53	43.41
1979	12.11	2.83	5.46	2.03	16.00	33.92	14.81	13.16	22.55	43.11	47.35	26.46
1980	7.19	1.69	1.29	1.56	15.57	31.82	18.80	10.69	44.46	99.33	118.71	40.66
1981	13.13	8.96	5.53	6.59	19.83	20.57	15.52	8.15	10.81	126.45	133.11	43.79
1982	15.36	8.59	5.61	8.65	9.07	11.18	8.37	8.02	43.19	18.69	25.07	22.21
1983	20.50	13.00	7.44	5.08	5.09	20.26	12.78	11.87	13.11	91.95	113.32	23.18
1984	12.49	10.20	5.84	4.86	14.81	23.00	9.88	14.18	8.90	102.68	77.31	41.52
1985	17.05	13.74	8.88	10.49	19.24	31.85	9.90	6.47	14.98	56.86	88.86	63.98
1986	20.91	10.81	7.70	5.04	21.06	11.63	6.02	8.16	6.52	107.89	56.81	42.73
1987	10.78	5.56	4.20	4.25	4.33	7.36	3.43	24.07	40.07	11.28	53.69	33.49
1988	10.79	6.22	4.97	4.28	6.21	7.64	8.82	6.61	9.92	130.95	64.06	33.21
1989	25.31	11.71	8.50	6.22	49.36	23.06	17.68	13.50	13.13	20.78	17.29	16.88
1990	10.31	9.05	8.56	6.22	13.97	9.43	7.04	14.28	55.02	137.48	103.27	27.30
1991	9.95	7.03	6.00	7.37	9.84	5.77	4.98	6.76	7.58	40.34	16.86	15.94
1992	17.17	9.80	5.91	4.57	8.07	26.22	12.04	18.37	20.77	165.63	80.28	29.77
1993	17.36	9.78	6.68	5.61	7.95	7.78	11.68	6.20	8.17	83.05	61.64	98.24
1994	21.92	9.82	7.51	5.89	7.32	11.31	5.16	3.53	31.40	42.37	26.48	37.44
1995	16.37	10.85	7.38	5.93	7.21	9.43	11.03	9.28	32.77	164.52	104.96	53.83
1996	19.65	8.81	5.25	4.68	26.81	15.88	8.40	3.55	62.76	125.26	149.97	79.80
1997	32.03	26.42	17.10	15.30	20.20	15.30	18.47	11.63	64.33	44.67	45.25	31.13
1998	9.82	7.36	5.73	5.36	10.64	9.45	11.33	14.45	46.31	62.25	144.60	95.65
1999	34.60	15.56	10.52	11.56	30.79	27.81	15.96	9.34	14.40	85.45	120.53	104.66
2000	20.30	14.24	8.59	15.98	24.76	23.40	17.84	53.69	36.10	145.92	114.86	62.08
2001	26.66	13.62	18.69	13.06	25.60	13.00	8.35	23.37	15.14	58.06	58.11	62.47
2002	19.24	8.72	6.15	5.18	5.62	5.58	4.29	15.20	64.86	73.85	55.07	34.27
2003	15.98	9.44	6.17	5.82	8.77	8.45	6.84	5.84	21.63	51.30	43.49	37.45
2004	16.11	11.65	7.75	8.38	9.78	16.82	11.75	17.24	17.98	34.72	62.51	38.55
2005	9.96	5.85	5.50	4.93	4.77	5.43	6.47	6.54	47.52	80.72	56.00	47.22
2006	23.12	10.76	6.78	5.82	11.56	7.17	5.18	14.35	38.77	62.35	26.31	32.49
2007	23.61	12.18	6.98	7.03	14.83	18.66	12.58	18.45	30.01	169.65	167.12	28.28
2008	9.67	7.72	6.76	5.42	10.32	10.57	5.91	6.59	15.81	79.83	70.81	38.22
2009	32.52	8.02	4.96	7.84	8.94	6.51	8.18	6.97	116.91	90.60	55.86	29.93
2010	23.51	15.63	11.32	9.53	11.05	17.61	13.04	37.10	24.21	63.89	95.52	18.93
2011	16.62	13.28	9.17	8.04	10.35	12.13	8.35	8.99	60.65	75.79	127.29	52.04
2012	19.28	11.09	7.47	9.77	9.64	11.12	6.21	5.31	7.52	15.19	8.48	7.94
2013	6.35	5.36	5.20	6.32	6.83	7.01	8.91	5.57	58.93	152.26	158.29	26.33
2014	13.01	7.36	5.24	6.81	12.50	6.13	7.08	11.05	17.41	36.36	29.31	57.97
2015	25.79	14.49	14.34	12.82	12.02	8.73	4.88	10.38	26.62	34.74	46.34	18.83
2016	10.71	8.33	5.46	4.72	12.53	7.69	7.64	7.32	32.12	36.12	85.04	107.01
2017	41.91	27.57	12.79	11.67	24.93	13.96	26.53	15.52	25.79	27.07	183.77	44.51
2018	19.63	10.59	10.82	9.54	21.26	9.48	7.08	6.20	7.97	16.98	19.14	49.23
2019	25.80	9.32	5.56	5.80	8.53	7.79	4.02	4.27	21.82	24.50	47.60	21.44
2020	8.68	5.58	4.03	6.58	5.96	7.76	12.59	14.70	28.30	358.80	130.82	55.20
2021	18.10	8.20	5.68	5.36	12.75	4.86	5.40	7.43	67.34	130.20	57.19	43.24
2022	28.47	12.65	15.27	35.18	22.90	13.34	19.85	19.74	48.40	139.20	40.00	56.75
2023	31.00	20.00	12.30	7.80	10.80	11.80	10.20	6.00	20.50	94.10	82.30	74.74
